"EVENT_SMAS_ID","TWR_EVENT_SMAS_SAMPLE_DATE","TWR_TEST_START_DATE","TWR_REPRODUCTIVE_RATE","TWR_REPRODUCTIVE_RATE_QLFR","TWR_REPRODUCTIVE_SIG","TWR_PCT_CTRL","TWR_PCT_CTRL_QLFR","TWR_PCT_SURVIVAL","TWR_PCT_SURVIVAL_QLFR","TWR_SURVIVAL_SIG","TWR_ASSESSMENT"
"12-LSCH-0.4","4/26/2006","4/28/2006","29.7",NA,"FALSE","105",NA,"100",NA,NA,"Non-toxic"
"12-EAST-0.1","4/26/2006","4/28/2006","23.2",NA,"FALSE","82",NA,"100",NA,NA,"Non-toxic"
"12-CINC-3.4","4/25/2006","4/28/2006","31.7",NA,"FALSE","112",NA,"100",NA,NA,"Non-toxic"
"12-ORSK-0.9","4/25/2006","4/28/2006","31.6",NA,"FALSE","111",NA,"100",NA,NA,"Non-toxic"
"12-DEAN-2.4","4/25/2006","4/28/2006","28.7",NA,"FALSE","101",NA,"100",NA,NA,"Non-toxic"
"01-CAZE-1.1","5/2/2006","5/5/2006","28.5",NA,"FALSE","108",NA,"100",NA,NA,"Non-toxic"
"01-CATT-2.0","5/4/2006","5/5/2006","26.3",NA,"FALSE","100",NA,"100",NA,NA,"Non-toxic"
"01-NIAG-0.2","5/1/2006","5/5/2006","25.6",NA,"FALSE","97",NA,"100",NA,NA,"Non-toxic"
"01-TONA-19.6","5/1/2006","5/5/2006","27.7",NA,"FALSE","105",NA,"100",NA,NA,"Non-toxic"
"01-RANS-3.1","5/1/2006","5/5/2006","27.4",NA,"FALSE","104",NA,"100",NA,NA,"Non-toxic"
"01-MUDN-2.6","5/1/2006","5/5/2006","27.8",NA,"FALSE","105",NA,"80",NA,NA,"Non-toxic"
"01-LTON-3.7","5/1/2006","5/5/2006","28.6",NA,"FALSE","108",NA,"100",NA,NA,"Non-toxic"
"01-BUFF-1.7","5/2/2006","5/5/2006","27.3",NA,"FALSE","103",NA,"100",NA,NA,"Non-toxic"
