TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
07-SKAN-2.2,8/21/2007,12/12/2007,12/13/2007,1.04,,100,,Moderate,Non-toxic
08-BENE-0.2,9/12/2017,11/7/2017,11/8/2017,74.11,,78.91,,Non-toxic,Toxic
08-FELT-0.3,9/12/2017,11/7/2017,11/8/2017,40.96,,100,,Slight,Non-toxic
08-KLSY-0.1,9/12/2017,11/7/2017,11/8/2017,23.95,,37.4,,Moderate,Toxic
08-MLCK-T2-0.1,9/13/2017,11/7/2017,11/8/2017,64.98,,100,,Non-toxic,Non-toxic
08-PHIL-0.3,9/13/2017,11/7/2017,11/8/2017,14.77,,17.48,,Severe,Toxic
08-SNDC-1.1,9/13/2017,11/7/2017,11/8/2017,71.4,,100,,Non-toxic,Non-toxic
08-BLCK-88.1,8/20/2008,1/13/2008,1/16/2009,71.39,,76.4,,Non-toxic,Toxic
08-BLCK-105.4,9/19/2013,1/7/2013,1/8/2014,67.36,,100,,Slight,Non-toxic
08-BEEV-0.8,8/19/2008,1/13/2008,1/16/2009,78.32,,,,Non-toxic,Insufficient Data
08-INDY-4.6,9/30/2008,1/13/2008,1/16/2009,84.28,,100,,Non-toxic,Non-toxic
08-LBLK-1.9,8/20/2008,1/13/2008,1/16/2009,86.32,,100,,Non-toxic,Non-toxic
08-ROAR-2.0,9/30/2008,1/13/2008,1/16/2009,75.16,,100,,Non-toxic,Non-toxic
08-MILE-0.7,9/19/2013,1/7/2013,1/8/2014,91.04,,100,,Non-toxic,Non-toxic
08-KLSY-0.1,9/18/2013,1/7/2013,1/8/2014,50.04,,100,,Moderate,Non-toxic
08-MLLL-1.8,9/19/2013,1/7/2013,1/8/2014,61.33,,100,,Slight,Non-toxic
08-MOOS-16.8,8/20/2008,1/13/2008,1/16/2009,70.64,,100,,Non-toxic,Non-toxic
08-MLLL_T7-0.8,9/18/2013,1/7/2013,1/8/2014,33.16,,100,,Severe,Non-toxic
08-PINC-0.4,8/20/2008,1/13/2008,1/16/2009,82.99,,,,Non-toxic,Insufficient Data
09-STLW-8.3,8/10/2005,9/7/2005,9/21/2005,5.31,,100,,Moderate,Non-toxic
09-BRND-2.5,9/22/2015,11/18/2015,11/19/2015,62.35,,100,,Slight,Non-toxic
09-SCKE-3.4,9/22/2015,11/18/2015,11/19/2015,38.13,,100,,Moderate,Non-toxic
09-REGI-2.8,7/14/2010,7/21/2010,7/22/2010,24.98,,100,,Slight,Non-toxic
09-REGI-7.8,7/14/2010,7/21/2010,7/22/2010,13.09,,100,,Moderate,Non-toxic
09-REGI-7.8,8/10/2005,9/7/2005,9/21/2005,13.67,,100,,Moderate,Non-toxic
09-CGAY-2.7,8/10/2005,9/7/2005,9/21/2005,31.76,,100,,Slight,Non-toxic
09-LSAL-0.6,8/10/2005,9/7/2005,9/21/2005,40.59,,100,,Non-toxic,Non-toxic
09-PIKC-0.9,8/10/2005,9/7/2005,9/21/2005,7.03,,100,,Moderate,Non-toxic
09-PIKC-8.7,9/21/2015,11/18/2015,11/19/2015,68.48,,100,,Non-toxic,Non-toxic
09-ENGL-2.5,7/15/2010,7/21/2010,7/22/2010,53.34,,100,,Non-toxic,Non-toxic
